metric,random_forest,xgboost
accuracy,0.960285132382892,0.9587576374745418
precision,0.9685863874345549,0.891832229580574
recall,0.8486238532110092,0.926605504587156
f1,0.9046454767726161,0.9088863892013498
roc_auc,0.9862910682549595,0.990642562082713
average_precision,0.965057745426237,0.9758157651260484
